"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1.80024234031504","11.3003063047732","12.1002063451122","14.7999912516677","16.2994170698331","17.6002094743503","18.9002071637882","15.7270434965329","14.6995368050798","14.6470009449678","15.0205308345377","14.7971787957078","14.7971787957078","","","","",
"Africa Eastern and Southern","AFE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.27735424237636","-1.28680395163325","-1.10783336851044","-1.15343474597931","-1.27248290129771","-1.09183986348669","-1.41654433445001","-1.53229703608247","-1.37877608034231","-1.51617088759671","0.466422730883894","0.787738689719818","0.15444824417202","0.353135385265644","0.577756309348032","0.680722173835757","0.602224226950218","0.919599212382572","0.637233353849524","0.986443031234325","0.699636458860459","1.04268785519729","0.683921884996809","1.08942032817706","1.57177009611988","2.56892369207893","2.46989096363573","3.78389814132683","3.94859026174593","5.08754635514056","4.49718013313305","5.30096305358396","","","","",
"Afghanistan","AFG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.0183183733284484","0.0228905287712146","2.97322118093966","2.72534959751642","2.77200987806233","2.83229014034404","3.19005850365957","3.16865225907967","3.47404347045087","3.82453122312059","5.43252738169043","6.57829189006628","","","","",
"Africa Western and Central","AFW","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.133719634499666","0.128543883453546","0.0994649471806832","0.00344447506200055","-0.0834668803418803","-0.147554129911788","-0.0825107722397091","-0.0412650691189908","-0.0927495442479291","-0.219106047326906","2.72455927618692","1.73086733150791","-3.13909512984365","1.91677695389692","0.0827681106380097","11.0785717653395","8.38858042359416","3.51568185756368","3.79157350966784","6.02163642413601","1.807337735499","-0.524459302112295","0.0240009070491163","1.42301505369171","0.707494517480245","-0.0940054551520296","-0.365331328745162","0.257857000181396","0.429383435826366","0.63965511786657","0.534586327460861","0.515488314606178","","","","",
"Angola","AGO","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","-0.81038062283737","-0.402319902319902","-0.713881019830028","-0.515288220551378","-1.05483727151137","-0.822904816078878","-0.125041904123366","12.1052469135802","0.867193285608492","1.35531135531136","-0.31950816663608","0.635864754823863","-21.1304798962387","-13.2817489560305","0.898958004420587","-2.02336352408399","0.72992299229923","12.9602383834621","8.7914499847048","13.4239253582139","9.68738673432403","18.8968817134301","","","","",
"Albania","ALB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.00375335120643432","0.007223113964687","0.00540865384615385","0.00481626828398145","0.00496049972441668","0.00488776249094859","0.00944055944055944","0.00711087700816434","0.00788158400615148","0.00713530655391121","0.0183727034120735","0.0194708994708995","0.0148009771518896","0.0345046570702794","0.0242578456318914","0.013621177075302","0.0481661511268228","0.017303869987139","0.442758355743373","0.624317711274233","0.465409506806516","","","","",
"Andorra","AND","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1.06382978723404","1.17647058823529","5.40540540540541","25","19.9491740787802","23.4567901234568","11.2688553682343","13.4868421052632","13.2938766218985","11.2486920125567","10.6999448862294","14.0894504612916","14.4662921348315","16.3889928865593","14.9964412811388","13.5352061291499","14.2270018494417","17.4766624963911","","","","",
"Arab World","ARB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000401094184936507","0.000401859807187665","0.00035974069890423","0.00033034372264341","0.000312456060866441","0.0182441910196708","0","0.0449694448682636","0.000247404112351156","0.00632631112798127","0.140020189827692","0.177483808724952","0.208436553554475","0.148401704799682","0.265177482833257","0.0231890272148392","0.0285419911139681","-0.32041117757554","0.342996305967985","0.487612421710551","0.26743203105601","0.478473889167089","0.381691901760088","0.34699223508051","0.442443827138691","0.569675301315456","0.806960504574608","0.89461755774035","1.11925732140354","1.48131334552344","2.18655778496935","2.469037054181","","","","",
"United Arab Emirates","ARE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0074797544866858","0.0196063821860797","0.0225949948051686","0.0223400048954077","0.0783671985090231","0.263563430434596","0.240204736895818","0.248154120342867","0.557695737471018","0.885151528519123","2.64586794169905","3.78319860170417","4.20134583903604","","","","",
"Argentina","ARG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.19747520288548","-7.89395514629437","-8.95628775593849","-10.0597931480284","-10.8251820702685","-10.1144668879594","-7.82118901565098","-9.32321490169024","-8.51677608077322","-6.35594794388242","-7.47880756006023","-9.75152516804579","-9.79444477276757","-8.06667318302272","-6.53791920541689","-6.77995442899148","-7.31189838158034","-5.62458936985336","-4.89543743387437","-5.45778435282963","-4.99743681307781","-4.40720121075471","-3.02127034059004","-3.51280231165795","-4.22381942039026","-3.80281477101625","-2.9382760494498","-3.09416110516053","-2.69236376021798","1.5032854430153","6.17318136617456","9.06192102050542","","","","",
